Date,Close points,Open points,Maximum points,Minimum Points,Volume,Variation
04.11.2013,"54436,92","54014,21","54531,03","54008,39","2,73M","0,78%"
01.11.2013,"54013,24","54255,03","54387,33","53752,67","4,09M","-0,45%"
31.10.2013,"54256,2","54174,11","54466,49","53602,45","12,95M","0,15%"
30.10.2013,"54172,82","54540,57","54764,15","53917,28","6,04M","-0,67%"
29.10.2013,"54538,8","55075,8","55266,83","54223,63","6,14M","-0,97%"
28.10.2013,"55073,37","54156,36","55076,06","54070,48","5,80M","1,70%"
25.10.2013,"54154,15","54863,43","54910,86","54141,4","4,94M","-1,32%"
24.10.2013,"54877,15","55440,03","55864,1","54442,62","5,65M","-1,02%"
23.10.2013,"55440,03","56458,88","56458,88","55379,85","4,02M","-1,81%"
22.10.2013,"56460,38","56074,18","56720,21","55897,8","4,61M","0,68%"
21.10.2013,"56077,43","55380,32","56109,15","55256,84","4,66M","1,26%"
18.10.2013,"55378,46","55359,99","56052,46","55003,77","5,98M","0,04%"
17.10.2013,"55358,13","55965,87","56167,76","55145,98","7,21M","-1,10%"
16.10.2013,"55973,03","54983,18","56747,03","54901,83","12,96M","1,80%"
15.10.2013,"54980,64","54175,55","55190,11","54053,24","8,58M","1,50%"
14.10.2013,"54170,6","53149,62","54196,88","52833,13","4,09M","1,92%"
11.10.2013,"53149,62","52999,89","53301,17","52738,72","3,05M","0,29%"
10.10.2013,"52996,64","52550,42","53132,78","52511,74","4,14M","0,85%"
09.10.2013,"52547,71","52312,85","52835,62","51955,38","4,21M","0,45%"
08.10.2013,"52312,44","52413,38","52555,87","51870,33","4,00M","-0,20%"
07.10.2013,"52417,1","52841,2","52912,03","52273,9","3,47M","-0,82%"
04.10.2013,"52848,97","52488,87","52871,88","52113,32","4,30M","0,68%"
03.10.2013,"52489,86","53101,05","53429,11","52296,25","3,99M","-1,15%"
02.10.2013,"53100,18","53176,01","53473,88","52870,8","4,14M","-0,15%"
01.10.2013,"53179,46","52337,32","53179,46","52093,15","5,04M","1,61%"
30.09.2013,"52338,19","53736,75","53736,75","52290,93","6,50M","-2,61%"
27.09.2013,"53738,92","53780,99","54131,01","53611,24","4,22M","-0,08%"
26.09.2013,"53782,97","54262,84","54344,01","53428,74","6,27M","-0,88%"
25.09.2013,"54261,11","54425,47","54611,87","53967,94","3,90M","-0,31%"
24.09.2013,"54431,05","54600,34","54818,37","54163,92","4,30M","-0,31%"
23.09.2013,"54602,38","54110,03","54682,51","54026,79","3,92M","0,91%"
20.09.2013,"54110,03","55095,27","55242,53","54018,51","4,42M","-1,79%"
19.09.2013,"55095,69","55702,61","55900,01","54965,85","5,13M","-1,09%"
18.09.2013,"55702,9","54272,5","55827,16","53981,55","7,54M","2,64%"
17.09.2013,"54271,25","53823,4","54271,25","53576,06","4,25M","0,84%"
16.09.2013,"53821,63","53799,17","54462,78","53559,49","4,77M","0,04%"
